|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 878|3|0.132|15|14.446|5024.719635813122|90.22978838218745
Generation 879|2|0.134|15|14.46|2149.739062976162|84.16607955312274
Generation 880|2|0.11|15|14.598|2149.739062976162|74.72198214477973
Generation 881|2|0.152|15|14.524|2149.8377997990897|97.72420747517471
Generation 882|2|0.118|15|14.648|2149.739062976162|76.42863297803402
Generation 883|2|0.16|100|14.89|2149.739062976162|108.89243729611911
Generation 884|3|0.15|100|15.14|5024.719635813122|106.68871072127963
Generation 885|2|0.148|100|14.864|2149.739062976162|100.69549972958842
Generation 886|2|0.144|15|14.666|2149.739062976162|93.90300426837558
Generation 887|2|0.14|15|14.614|2149.739062976162|91.89403197952004
Generation 888|2|0.146|15|14.686|2149.739062976162|97.2250751682161
Generation 889|2|0.126|15|14.668|2149.739062976162|82.69701986995837
Generation 890|3|0.148|15|14.57|5024.719635813122|107.4258703139842
Generation 891|2|0.142|15|14.64|2149.739062976162|97.4474852161681
Generation 892|3|0.12|15|14.776|5024.719635813122|84.57743452829833
Generation 893|2|0.152|15|14.656|2149.739062976162|100.16968799279721
Generation 894|2|0.142|15|14.61|2149.739062976162|90.62201009831085
Generation 895|2|0.114|15|14.762|2149.739062976162|76.87024836654146
Generation 896|2|0.16|15|14.612|2149.739062976162|106.38492629075583
Generation 897|2|0.144|15|14.738|2149.739062976162|89.40802889789876
Generation 898|2|0.132|15|14.716|2149.739062976162|83.43916782327449
Generation 899|1|0.112|100|14.794|511.42505421866946|71.32855807834538
Generation 900|2|0.148|17|14.688|2149.739062976162|102.76032009372084
Generation 901|2|0.124|15|14.818|2149.8377997990897|86.41577699973759
Generation 902|2|0.118|15|14.844|2149.739062976162|81.18692054022398
Generation 903|2|0.106|15|14.676|2149.739062976162|72.80499559064766
Generation 904|2|0.15|15|14.732|2149.739062976162|106.08858752165735
Generation 905|2|0.136|15|14.846|2149.739062976162|90.09242546257542
Generation 906|2|0.126|15|14.734|2149.739062976162|87.35152929823904
Generation 907|2|0.142|100|14.878|2149.739062976162|97.71086149591576
Generation 908|3|0.172|100|14.892|5024.719635813122|117.35244754367473
Generation 909|3|0.134|15|14.756|5024.719635813122|100.6647348953991
Generation 910|2|0.142|15|14.642|2149.739062976162|99.7773605679553
Generation 911|2|0.176|15|14.608|2149.739062976162|114.31355131107935
Generation 912|2|0.166|15|14.666|2149.739062976162|114.00557775000983
Generation 913|1|0.134|15|14.568|511.42505421866946|81.9916720420932
Generation 914|2|0.116|15|14.59|2149.739062976162|75.37612972671289
Generation 915|2|0.148|15|14.744|2149.739062976162|93.66950937078796
Generation 916|2|0.158|15|14.632|2149.739062976162|100.82753621778133
Generation 917|2|0.132|15|14.592|2149.739062976162|87.89063246595148
Generation 918|3|0.13|15|14.592|5024.719635813122|93.97632247773177
Generation 919|2|0.132|15|14.746|2149.739062976162|83.50346135719977
Generation 920|2|0.138|15|14.686|2149.739062976162|86.41269133996776
Generation 921|2|0.122|15|14.772|2149.739062976162|80.8202386504488
Generation 922|2|0.154|15|14.622|2149.739062976162|101.13371295696483
Generation 923|2|0.114|15|14.664|2149.913226044195|74.47496644145544
Generation 924|2|0.126|15|14.692|2149.739062976162|94.15161570390644
Generation 925|3|0.138|15|14.646|5024.719635813122|93.38379953835998
Generation 926|2|0.15|15|14.766|2149.739062976162|96.98795269040947
Generation 927|2|0.134|15|14.63|2149.739062976162|88.9279593794515
Generation 928|1|0.12|15|14.616|511.42505421866946|75.11374947235149
Generation 929|2|0.156|100|14.892|2149.739062976162|116.10708211934657
Generation 930|3|0.154|100|14.836|5024.719635813122|112.92271943474408
Generation 931|2|0.156|15|14.676|2149.8377997990897|109.01856554677829
