|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 1118|2|0.15|33|15.826|2149.6181160598485|113.35216752257256
Generation 1119|3|0.166|33|15.938|5008.019294011269|116.93611868819282
Generation 1120|3|0.126|33|15.512|5020.270752177687|99.43763774783936
Generation 1121|4|0.15|33|15.578|9184.57636729794|118.47713530681922
Generation 1122|2|0.126|33|15.742|2149.475941242983|90.12295884822836
Generation 1123|3|0.136|33|15.508|5024.719635813122|104.28007467795193
Generation 1124|2|0.158|33|15.546|2149.913226044195|117.18437775050742
Generation 1125|2|0.116|33|15.514|2149.8377997990897|89.47157965956373
Generation 1126|4|0.146|33|15.348|9177.295955565198|109.49645430584324
Generation 1127|2|0.156|33|15.65|2148.9304694062257|104.8097876921019
Generation 1128|2|0.158|33|15.66|2149.9540739565236|117.19687827951444
Generation 1129|3|0.16|33|15.546|5005.486447528147|115.9788683471684
Generation 1130|2|0.136|33|15.748|2148.9304694062257|95.02401965135346
Generation 1131|2|0.132|33|15.586|2149.913226044195|99.7139736277928
Generation 1132|3|0.152|33|15.364|5010.465200741229|102.81310423912707
Generation 1133|3|0.16|33|15.284|5010.465200741229|124.90216024881339
Generation 1134|3|0.124|33|15.016|5016.170998995946|95.51784581539314
Generation 1135|3|0.122|33|15.172|5015.079034242259|87.8262746631284
Generation 1136|2|0.152|33|15.642|2149.964098556101|118.75727063891324
Generation 1137|2|0.14|33|15.496|2149.913226044195|101.41105311842516
Generation 1138|2|0.134|33|15.576|2149.739062976162|93.98158933356977
Generation 1139|3|0.182|33|16.064|5026.96582588445|143.40103415301098
Generation 1140|3|0.136|33|15.564|5023.038198361497|97.42918139414311
Generation 1141|2|0.158|33|15.636|2149.9540739565236|108.18085672161872
Generation 1142|2|0.124|33|15.696|2149.9540739565236|93.64444892421552
Generation 1143|3|0.152|33|15.46|5011.6542707371345|118.85606805697523
Generation 1144|4|0.14|33|15.578|9175.378187074351|111.27511671176698
Generation 1145|3|0.126|33|15.14|5010.465200741229|94.23609719538567
Generation 1146|2|0.146|33|15.226|2149.6181160598485|110.87345208562293
Generation 1147|3|0.146|33|15.518|5005.486447528147|115.86050629790896
Generation 1148|3|0.148|33|15.594|5008.019294011269|116.86754392854752
Generation 1149|2|0.166|33|15.528|2149.9540739565236|121.11493969220892
Generation 1150|3|0.168|33|15.476|5021.224242470099|136.09686945163446
