|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 297|22|4.312|1000|166.962|4507533.0506102005|40811.135167247645
Generation 298|22|4.562|950|152.8|4510396.082852928|56140.22986566998
Generation 299|20|4.344|1100|174.2|1265535.7106403667|31498.7899900637
Generation 300|22|3.968|1000|151.62|4510346.099965052|40844.14644505808
Generation 301|19|3.744|900|136.292|752220.4400037029|23903.884344669746
Generation 302|24|4.084|900|144.894|17154565.725207612|67084.27342956307
Generation 303|21|4.184|900|152.6|2383412.519905635|31823.421277889942
Generation 304|25|4.444|1000|163.374|33970368.386049494|110244.05654950293
Generation 305|23|4.696|900|158.316|8736822.118363468|67181.09622439313
Generation 306|25|4.664|850|175.136|33958746.03164369|118879.36986397339
Generation 307|24|5.226|1000|186.704|17157027.45546837|108626.70445910435
Generation 308|25|4.526|1000|164.87|33962255.49781618|121234.09766904851
Generation 309|24|5.05|800|171.312|17155203.28056862|106013.45931510926
Generation 310|24|4.686|1100|161.644|17152383.57415585|88215.18415368334
Generation 311|24|4.536|850|158.78|17154565.725207612|71575.65722194505
Generation 312|24|4.512|1100|153.684|17152024.400955234|80526.46667622474
Generation 313|21|4.78|1100|167.258|2385894.7176587726|55715.13200349113
Generation 314|22|4.494|800|165.12|4510346.099965052|45190.58735116448
Generation 315|24|4.842|800|154.492|17158088.230989743|131232.63914444728
Generation 316|24|5.464|1000|179.71|17157476.1768572|116121.49966830334
Generation 317|23|5.042|1100|173.094|8733609.433549918|73813.95491039242
Generation 318|23|5.12|1050|166.698|8734859.564319396|74910.28427594632
Generation 319|25|4.99|1250|168.462|33962063.56764599|129905.59964989054
Generation 320|22|5.292|900|161.352|4508980.583367004|52408.52701747989
Generation 321|21|5.086|1050|172.42|2381642.012151285|55748.21938063569
Generation 322|22|5.43|1150|180.108|4514154.633195259|74947.9091105054
Generation 323|23|5.506|950|169.202|8735768.897829972|96735.92631797204
Generation 324|24|5.224|1000|161.518|17153922.966401227|84300.41414057327
Generation 325|23|5.184|1050|174.462|8733664.250809282|94894.62375824663
Generation 326|23|5.34|1050|180.84|8727987.365690751|86499.6681871952
Generation 327|24|6.006|1050|180.048|17150998.943354793|113872.37879320991
Generation 328|23|5.662|1000|162.21|8733444.732658822|72926.48500615054
Generation 329|27|5.92|1150|169.136|134698808.07025588|420960.612261124
Generation 330|22|5.172|950|157.37|4509082.772273734|70309.35315436091
Generation 331|24|4.978|1050|162.842|17156121.139841408|95714.24710805829
Generation 332|27|5.354|1150|174.454|134696752.5382372|350614.16291725705
Generation 333|23|5.842|1000|177.238|8733609.433549918|105399.7096374492
Generation 334|24|5.366|950|173.782|17153864.279072747|114070.69018303877
Generation 335|23|5.54|1000|187.16|8734859.564319396|69943.09381494611
Generation 336|24|5.162|950|156.832|17160370.36255634|108257.93434109837
Generation 337|23|5.206|950|166.016|8731665.139709113|63582.50699418551
Generation 338|24|4.88|1150|153.392|17156007.03187|93755.92170881607
